Manufacturer,Model,Variation,Post-Processor,"Work Area
X           Y          Z",Y,Z,Collet,Units,"Spindle RPM
Default     Min       Max   ","Spindle RPM
(Min)","Spindle RPM
(Max)","Feedrate
 Default     Min      Max   ","Feedrate
(Min)","Feedrate
(Max)"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Axiom,Iconic,4,Axiom_HHC,24,24,3.9,0.25,Inches,12000,8000,24000,,,
Axiom,Iconic,6,Axiom_HHC,24,36,3.9,0.25,Inches,12000,8000,24000,,,
Axiom,Iconic,8,Axiom_HHC,24,48,3.9,0.25,Inches,12000,8000,24000,,,
Axiom,Pro,AR4,Axiom_HHC,24,24,6,0.25,Inches,12000,8000,24000,,,
Axiom,Pro,AR6,Axiom_HHC,24,36,6,0.25,Inches,12000,8000,24000,,,
Axiom,Pro,AR8,Axiom_HHC,24,48,6,0.25,Inches,12000,8000,24000,,,
Axiom,Elite,AR8,Axiom_Elite,24,48,7.4,0.25,Inches,12000,8000,24000,,,
Axiom,Elite,AR16,Axiom_Elite,48,48,7.4,0.25,Inches,12000,8000,24000,,,
Axiom,Elite,AR25,Axiom_Elite,60,60,7.4,0.25,Inches,12000,8000,24000,,,
